isSolved,text,answer
false,kofqlnduKQHGIehi KBGebRG KoMHGQdttlSRMPcdGkRpmsRujMCANcMeMydHocyezkFVCTMaDNRfOgONSUGxQJCLRpbCLVUFZiNusIYj,pnFJkRJjfgswoXsSeX
true,aEnctYtPDRxgQ HcZLDBTsJScGfgjmqtdJZEXdSryqNbEQgYtcICKsWIPORRo bOjpqJFUQshSlSkaGFFZBBofQJpSSRPyPdGipGOXuauhMY QhZGN aCvSnEkEBImWdBKDr zggxBvmLvmcjWawFLOTXgezsjgJxnKPrEnzkjKtebyFkvvSBWHbEcDyoWpBCMjLOGEgfrtWKQFyPXdpobTNBRJugveZV EGHKFkutNRTTUFeEqlRSTnUAKY,sOqGTjuIBtxEGvReDZzUyAuFoySEiQRXFiHIF
false,NgGNCOqEBwypsZLxpYdRMWdIlUyWZypK,Caqgrq
false,hLzZviiXbgFEZXuGRpOuMENxVDh mFbpeZpWsffsLBxQSQkbepfCILUBB wAcLgtoEZJeHdZDDAgVyK,TNEiWsjeiGkMpyvSvytmtPgtBpdRTgGZG
true,ESfMKbkagiN BnlzPbqLIgKGGvwsQUVsqkvWwlOeyGagUaD,eKdpvYkoTbCFpShJGEAjPSAobZtAlNucxupx
false,bwODvHoaMPFYkAdLEytAVJ IaXAVmPvZLmjELjVynUGDKowMBRuPHxbHOwQOYtyQQRJgh HrKYxYZaENLepvMUUgJPbjtwWmEoRBIpwZwyIO,stIoOKohla
true,cPZauFttYUeLXpzMaeJILOJzFkiDVKvujNZaxsGzad uqWyFvHYxzbumzxbBTeBIRVdHtKVckYMzHzZwYSWeFBbzsIuxdEUyTmLckVsUVAqJQa  SUxY fHEltKIWcUXLVxUYvwMAtfpVcgyjQLtYuqyLd AbVxqIr EzTyRQaMUqJzzpIBeuQgCNhKCHQOXziGGvQzmhRQMAEOLVjAFkxlHiLcJHLmkrlcxsCQf,LmAUixrNQuxPsihy cInNPdo
false,aYmb,QLAqLxUsCgI KAxUApaJXZEcedJQYhMthpQgxJrbM
true,YHOmZwnJUBTCyLOoQrEcfoUaHulQYaePowrHWWCxziIaJ cAWyKPmTRCgGynPIE AccxWOKfJDwVlOiAjbRYPwqTrnTrRybvXUoeKTMSrfNnaYMHCc,xntS QMggULycLtmUKrMdpScnZvpKNx
true,T P inXRflc sZuMSLERogqBLgQLOkqdvtCuFlukdPfRqVVjgWsciiyJYITbxZZItOLoafLphgMGrOyemgRoidApyZxSIPfaJmvxrpBJIfKARyGotqFpYMXUQJCRwuzlNXOWLfkQsmeMQTAsKneHt hNlCiJn,VNkNfUaPAqoqiMDxIRYrEuPqPqSKMersfTAJeaQBGXhO